period,company,yelp_avg_rating,normalized_yelp_avg_rating,yelp_no_of_reviews,yelp_5,percentage_yelp_5,yelp_4,yelp_3,yelp_2,yelp_1,glassdoor_avg_rating,normalized_glassdoor_avg_rating,glassdoor_no_of_reviews,glassdoor_5,percentage_glassdoor_5,glassdoor_4,glassdoor_3,glassdoor_2,glassdoor_1,months_after_stock_price,stock_price_change,price_increase_or_decrease
2008_4,Gap,3.0526315789473686,0.49521531100478483,0.5161290322580645,0.25,0.2631578947368421,0.46153846153846156,0.45454545454545453,0.42857142857142855,0.3333333333333333,3.013888888888889,0.2546895137587592,0.05327868852459016,0.0,0.0,0.06521739130434782,0.08,0.26666666666666666,0.0,11.280000,1.0,0
2013_4,Gap,3.1153846153846154,0.5437062937062938,0.7419354838709677,0.875,0.673076923076923,0.3076923076923077,0.5454545454545454,0.42857142857142855,0.6666666666666666,3.436298076923076,0.7958940364453265,0.21721311475409835,0.225,0.53125,0.25,0.21333333333333335,0.3,0.21428571428571427,38.080002,1.0,0
2019_1,Gap,2.8461538461538463,0.3356643356643358,0.3225806451612903,0.125,0.19230769230769232,0.38461538461538464,0.18181818181818182,0.14285714285714285,0.4444444444444444,3.4829133131019923,0.8556190077783128,0.38934426229508196,0.575,0.8197064989517819,0.33695652173913043,0.38666666666666666,0.4,0.5,26.080000,1.0,0
2013_1,Gap,2.925925925925926,0.3973063973063974,0.7741935483870968,0.5,0.37037037037037035,0.6923076923076923,0.18181818181818182,0.7142857142857143,0.7777777777777778,3.5067233761263616,0.8861252423945873,0.22950819672131148,0.4,0.9021558872305141,0.20652173913043478,0.21333333333333335,0.26666666666666666,0.2857142857142857,37.990002,1.0,0
2013_3,Gap,3.064516129032258,0.5043988269794721,0.9032258064516129,0.75,0.48387096774193544,0.5384615384615384,0.6363636363636364,0.7142857142857143,0.6666666666666666,3.3725671918443,0.7142399337020406,0.29508196721311475,0.225,0.40963855421686746,0.2826086956521739,0.41333333333333333,0.36666666666666664,0.14285714285714285,36.990002,1.0,0
2013_2,Gap,3.1904761904761907,0.6017316017316019,0.5806451612903226,0.625,0.5952380952380951,0.38461538461538464,0.36363636363636365,0.42857142857142855,0.4444444444444444,3.2913826679649456,0.6102236557888191,0.2786885245901639,0.275,0.5260196905766525,0.1956521739130435,0.4266666666666667,0.36666666666666664,0.21428571428571427,45.900002,1.0,0
2010_2,Gap,3.0714285714285716,0.5097402597402598,0.3548387096774194,0.375,0.5357142857142857,0.3076923076923077,0.18181818181818182,0.14285714285714285,0.4444444444444444,3.077702702702703,0.33644986752057093,0.10655737704918032,0.1,0.4084084084084084,0.05434782608695652,0.18666666666666668,0.23333333333333334,0.21428571428571427,18.110001,1.0,0
2010_3,Gap,3.1724137931034484,0.5877742946708464,0.8387096774193549,0.375,0.2586206896551724,1.0,0.36363636363636365,0.5714285714285714,0.5555555555555556,3.2005208333333326,0.4938084895584671,0.15163934426229508,0.075,0.2361111111111111,0.15217391304347827,0.22666666666666666,0.26666666666666666,0.14285714285714285,19.010000,1.0,0
2010_1,Gap,3.0454545454545454,0.4896694214876033,0.6129032258064516,0.375,0.3409090909090909,0.46153846153846156,0.45454545454545453,0.7142857142857143,0.3333333333333333,3.385416666666667,0.7307031027925986,0.06967213114754098,0.125,0.6746031746031746,0.06521739130434782,0.10666666666666667,0.1,0.14285714285714285,24.730000,1.0,0
2010_4,Gap,3.176470588235294,0.5909090909090907,1.0,0.75,0.4411764705882353,0.5384615384615384,1.0,1.0,0.3333333333333333,3.1275252525252526,0.40028415441481885,0.09016393442622951,0.05,0.22895622895622897,0.07608695652173914,0.13333333333333333,0.26666666666666666,0.14285714285714285,19.270000,1.0,0
2015_4,Gap,2.962962962962963,0.4259259259259258,0.7741935483870968,0.375,0.27777777777777773,0.6153846153846154,0.6363636363636364,0.42857142857142855,0.6666666666666666,3.413294483294484,0.766421076901581,0.5901639344262295,0.525,0.5118279569892473,0.6195652173913043,0.6266666666666667,0.5666666666666667,0.6428571428571429,24.719999,1.0,0
2015_3,Gap,2.64,0.17636363636363653,0.7096774193548387,0.375,0.3,0.38461538461538464,0.36363636363636365,0.8571428571428571,0.7777777777777778,3.4083081188963553,0.7600323830935947,1.0,1.0,0.5925925925925926,1.0,1.0,1.0,1.0,27.219999,1.0,0
2015_2,Gap,2.7241379310344827,0.24137931034482754,0.8387096774193549,0.5,0.3448275862068965,0.3076923076923077,0.9090909090909091,0.2857142857142857,1.0,3.4131843076017843,0.7662799161861696,0.7991803278688525,0.55,0.4034519956850054,0.8804347826086957,0.92,0.7666666666666667,0.5,36.480000,1.0,0
